rank,genus_id,genus_name,mean_importance,std_importance,n_samples,mean_abs_importance
1,1031,Sphingobacterium,0.084340,0.082414,2,0.084340
2,57,Alcanivorax,-0.064986,0.129746,335,0.064986
3,1108,Thalassobius,0.057221,0.106928,13,0.057221
4,1100,Teredinibacter,-0.055142,0.022107,2,0.055142
5,416,Fluviicola,-0.051033,0.000000,1,0.051033
6,866,Propionigenium,-0.046376,0.000000,1,0.046376
7,1020,Slackia,0.045179,0.089535,23,0.045179
8,948,Rubellimicrobium,-0.043630,0.065561,29,0.043630
9,598,Litorilinea,-0.039644,0.075734,72,0.039644
10,1205,[Clostridium],-0.038967,0.000000,1,0.038967
11,272,Cloacibacillus,-0.034761,0.079745,511,0.034761
12,1217,planctomycete,0.033386,0.164363,36,0.033386
13,47,Aetherobacter,0.032357,0.021775,2,0.032357
14,61,Alicyclobacillus,-0.032090,0.030873,2,0.032090
15,50,Agarivorans,-0.030829,0.038563,3,0.030829
16,337,Desulfomicrobium,0.030477,0.092909,131,0.030477
17,214,Candidatus Endobugula,0.029736,0.000000,1,0.029736
18,1056,Streptacidiphilus,-0.027126,0.067306,260,0.027126
19,201,Caldicellulosiruptor,-0.027015,0.032578,3,0.027015
20,409,Flavihumibacter,-0.026743,0.057317,20,0.026743
21,81,Amorphomonas,-0.025640,0.000000,1,0.025640
22,436,Gallionella,0.024659,0.032386,3,0.024659
23,697,Mycoplasma,0.024273,0.000000,1,0.024273
24,1152,Turneriella,0.023985,0.000000,1,0.023985
25,743,Oceanicella,-0.022617,0.032168,11,0.022617
26,324,Denitrobacter,-0.021497,0.052821,127,0.021497
27,758,Oligella,-0.020651,0.038603,11,0.020651
28,238,Catellatospora,-0.020602,0.035444,34,0.020602
29,785,Parasegitibacter,-0.020374,0.026849,8,0.020374
30,840,Pleomorphomonas,0.020250,0.050452,27,0.020250
31,1184,Wohlfahrtiimonas,0.020187,0.062149,495,0.020187
32,4,5-7N15,-0.019884,0.053515,421,0.019884
33,422,Fritschea,-0.019754,0.057743,23,0.019754
34,134,Auritibacter,-0.019177,0.008410,2,0.019177
35,1018,Skermanella,0.019137,0.039518,15,0.019137
36,277,Coccomyxa,-0.018992,0.000000,1,0.018992
37,345,Desulfotalea,-0.018515,0.000680,3,0.018515
38,492,Halolamina,-0.018346,0.019796,5,0.018346
39,1182,Williamsia,0.018291,0.052429,46,0.018291
40,1007,Shewanella,-0.018268,0.055375,17,0.018268
41,91,Anaeroplasma,-0.018160,0.042707,88,0.018160
42,769,Oxalobacter,-0.018049,0.019586,5,0.018049
43,999,Sediminicola,-0.017545,0.014234,3,0.017545
44,192,Butyricimonas,-0.017527,0.035151,10,0.017527
45,867,Propionimicrobium,0.017423,0.014782,11,0.017423
46,48,Afifella,-0.017112,0.041244,658,0.017112
47,1079,Symploca,0.016993,0.053288,72,0.017621
48,51,Aggregatibacter,-0.016982,0.002254,2,0.016982
49,720,Nitratireductor,-0.016750,0.030819,5,0.016750
50,292,Coraliomargarita,0.016408,0.000000,1,0.016408
