rank,genus_id,genus_name,mean_importance,std_importance,n_samples,mean_abs_importance
1,1031,Sphingobacterium,0.084210,0.074758,2,0.084210
2,509,Herminiimonas,0.072949,0.000000,1,0.072949
3,866,Propionigenium,0.064368,0.000000,1,0.064368
4,437,Garciella,-0.056656,0.000000,1,0.056656
5,277,Coccomyxa,-0.050747,0.000000,1,0.050747
6,57,Alcanivorax,-0.045784,0.103985,335,0.045784
7,192,Butyricimonas,-0.044878,0.075014,10,0.044878
8,1108,Thalassobius,0.043104,0.067637,13,0.043104
9,50,Agarivorans,-0.042561,0.048983,3,0.042561
10,61,Alicyclobacillus,-0.040073,0.037882,2,0.040073
11,999,Sediminicola,-0.038767,0.023945,3,0.038767
12,1020,Slackia,0.037037,0.058595,23,0.037037
13,598,Litorilinea,-0.036691,0.080623,72,0.036691
14,948,Rubellimicrobium,-0.035853,0.058977,29,0.035853
15,416,Fluviicola,-0.034020,0.000000,1,0.034020
16,272,Cloacibacillus,-0.029053,0.073395,511,0.029053
17,337,Desulfomicrobium,0.027265,0.075442,131,0.027265
18,1184,Wohlfahrtiimonas,0.027173,0.084549,495,0.027173
19,1217,planctomycete,0.027020,0.114440,36,0.027020
20,81,Amorphomonas,-0.026949,0.000000,1,0.026949
21,334,Desulfocapsa,-0.025978,0.075673,10,0.025981
22,494,Halomicronema,0.024959,0.093683,722,0.024959
23,977,Salinimicrobium,-0.024859,0.043767,6,0.024859
24,717,Niabella,-0.024543,0.024535,2,0.024543
25,743,Oceanicella,-0.023442,0.030776,11,0.023442
26,91,Anaeroplasma,-0.021676,0.055596,88,0.021676
27,1057,Streptobacillus,0.021659,0.036217,4,0.021659
28,1182,Williamsia,0.021461,0.066654,46,0.021461
29,618,Magnetospirillum,-0.020816,0.020689,2,0.020816
30,601,Longilinea,0.019949,0.057196,165,0.019949
31,409,Flavihumibacter,-0.019748,0.033138,20,0.019748
32,1152,Turneriella,0.019611,0.000000,1,0.019611
33,1056,Streptacidiphilus,-0.019473,0.051706,260,0.019473
34,867,Propionimicrobium,0.019405,0.017301,11,0.019405
35,918,Rhodococcus,-0.018924,0.056893,32,0.018924
36,238,Catellatospora,-0.018921,0.035744,34,0.018921
37,1018,Skermanella,0.018857,0.033874,15,0.018857
38,115,Arcobacter,0.018487,0.060110,670,0.018487
39,493,Halomicrobium,0.018486,0.044515,44,0.018486
40,680,Millisia,-0.018437,0.018609,5,0.018437
41,511,Holdemania,0.018432,0.044306,110,0.018432
42,781,Paracoccus,-0.018192,0.050297,540,0.018192
43,720,Nitratireductor,-0.017810,0.033209,5,0.017810
44,1104,Tetragenococcus,-0.017747,0.048900,423,0.017747
45,870,Prosthecobacter,0.017317,0.029256,28,0.017317
46,134,Auritibacter,-0.017104,0.007356,2,0.017104
47,48,Afifella,-0.017089,0.045816,658,0.017089
48,4,5-7N15,-0.017084,0.047752,421,0.017084
49,304,Cupriavidus,-0.016791,0.026241,29,0.016791
50,568,Lachnospira,-0.016606,0.033088,8,0.016606
51,324,Denitrobacter,-0.016357,0.042351,127,0.016357
52,422,Fritschea,-0.016267,0.051606,23,0.016267
53,924,Rhodoplanes,0.016092,0.032802,41,0.016092
54,26,Actinobacillus,0.016049,0.048085,126,0.016049
55,797,Pedomicrobium,0.016020,0.036395,10,0.016020
56,1023,Sodalis,-0.015993,0.042573,342,0.015993
57,355,Diaphorobacter,-0.015990,0.054137,81,0.015990
58,1161,Variovorax,-0.015954,0.033781,33,0.015954
59,758,Oligella,-0.015631,0.031051,11,0.015631
60,1092,Taylorella,0.015106,0.046900,683,0.015106
61,1079,Symploca,0.014865,0.047289,72,0.016543
