sample_id,label,rank,genus_id,genus_name,importance,prob_full,prob_without
2538.1001069,Healthy,1,272,Cloacibacillus,-0.044629,0.0045,0.0491
2538.1001069,Healthy,2,1056,Streptacidiphilus,-0.018697,0.0045,0.0232
2538.1001069,Healthy,3,48,Afifella,-0.013709,0.0045,0.0182
2538.1001069,Healthy,4,1104,Tetragenococcus,-0.010147,0.0045,0.0146
2538.1001069,Healthy,5,781,Paracoccus,-0.009547,0.0045,0.0140
2538.1001069,Healthy,6,126,Arthrospira,-0.006267,0.0045,0.0107
2538.1001069,Healthy,7,637,Megamonas,-0.005959,0.0045,0.0104
2538.1001069,Healthy,8,536,Jonesia,-0.005825,0.0045,0.0103
2538.1001069,Healthy,9,251,Chelativorans,-0.004347,0.0045,0.0088
2538.1001069,Healthy,10,937,Robiginitomaculum,-0.004095,0.0045,0.0086
2538.1001069,Healthy,11,519,Hypseocharis,-0.004072,0.0045,0.0085
2538.1001069,Healthy,12,1184,Wohlfahrtiimonas,0.003812,0.0045,0.0007
2538.1001069,Healthy,13,782,Paracraurococcus,0.003318,0.0045,0.0012
2538.1001069,Healthy,14,483,Haloarcula,0.003069,0.0045,0.0014
2538.1001069,Healthy,15,376,Eikenella,-0.003021,0.0045,0.0075
2538.1001069,Healthy,16,507,Helicobacter,0.003015,0.0045,0.0015
2538.1001069,Healthy,17,494,Halomicronema,0.002866,0.0045,0.0016
2538.1001069,Healthy,18,708,Natronococcus,0.002738,0.0045,0.0017
2538.1001069,Healthy,19,218,Candidatus Koribacter,-0.002502,0.0045,0.0070
2538.1001069,Healthy,20,400,Ferrimonas,0.002309,0.0045,0.0022
2538.1001135,Healthy,1,57,Alcanivorax,-0.068556,0.0049,0.0735
2538.1001135,Healthy,2,272,Cloacibacillus,-0.030145,0.0049,0.0351
2538.1001135,Healthy,3,1023,Sodalis,-0.012756,0.0049,0.0177
2538.1001135,Healthy,4,4,5-7N15,-0.008553,0.0049,0.0135
2538.1001135,Healthy,5,48,Afifella,-0.007791,0.0049,0.0127
2538.1001135,Healthy,6,1141,Treubia,-0.005952,0.0049,0.0109
2538.1001135,Healthy,7,937,Robiginitomaculum,-0.005749,0.0049,0.0107
2538.1001135,Healthy,8,1104,Tetragenococcus,-0.005703,0.0049,0.0106
2538.1001135,Healthy,9,83,Amycolatopsis,-0.005599,0.0049,0.0105
2538.1001135,Healthy,10,117,Ardenscatena,-0.004978,0.0049,0.0099
2538.1001135,Healthy,11,251,Chelativorans,-0.004496,0.0049,0.0094
2538.1001135,Healthy,12,1184,Wohlfahrtiimonas,0.004111,0.0049,0.0008
2538.1001135,Healthy,13,1148,Tsukamurella,-0.003825,0.0049,0.0088
2538.1001135,Healthy,14,782,Paracraurococcus,0.003411,0.0049,0.0015
2538.1001135,Healthy,15,507,Helicobacter,0.003381,0.0049,0.0016
2538.1001135,Healthy,16,1092,Taylorella,0.003270,0.0049,0.0017
2538.1001135,Healthy,17,126,Arthrospira,-0.003226,0.0049,0.0082
2538.1001135,Healthy,18,494,Halomicronema,0.003099,0.0049,0.0018
2538.1001135,Healthy,19,815,Phaeobacter,0.003018,0.0049,0.0019
2538.1001135,Healthy,20,385,Enterococcus,-0.002857,0.0049,0.0078
2538.1003320,Disease,1,115,Arcobacter,0.001479,0.9995,0.9981
2538.1003320,Disease,2,1184,Wohlfahrtiimonas,0.001400,0.9995,0.9981
2538.1003320,Disease,3,361,Dok59,0.001396,0.9995,0.9981
2538.1003320,Disease,4,95,Anaerotruncus,0.001311,0.9995,0.9982
2538.1003320,Disease,5,1092,Taylorella,0.001139,0.9995,0.9984
2538.1003320,Disease,6,782,Paracraurococcus,0.000906,0.9995,0.9986
2538.1003320,Disease,7,69,Alkaliphilus,0.000678,0.9995,0.9989
2538.1003320,Disease,8,494,Halomicronema,0.000677,0.9995,0.9989
2538.1003320,Disease,9,786,Parvibaculum,0.000628,0.9995,0.9989
2538.1003320,Disease,10,1061,Streptosporangium,0.000537,0.9995,0.9990
2538.1003320,Disease,11,507,Helicobacter,0.000526,0.9995,0.9990
2538.1003320,Disease,12,1045,Sporomusa,0.000521,0.9995,0.9990
2538.1003320,Disease,13,589,Leptotrichia,0.000408,0.9995,0.9991
2538.1003320,Disease,14,935,Rivularia,0.000362,0.9995,0.9992
2538.1003320,Disease,15,272,Cloacibacillus,-0.000321,0.9995,0.9999
2538.1003320,Disease,16,637,Megamonas,-0.000312,0.9995,0.9999
2538.1003320,Disease,17,781,Paracoccus,-0.000307,0.9995,0.9998
2538.1003320,Disease,18,48,Afifella,-0.000299,0.9995,0.9998
2538.1003320,Disease,19,937,Robiginitomaculum,-0.000278,0.9995,0.9998
2538.1003320,Disease,20,519,Hypseocharis,-0.000271,0.9995,0.9998
2538.1001032,Healthy,1,355,Diaphorobacter,-0.000506,0.0001,0.0006
2538.1001032,Healthy,2,272,Cloacibacillus,-0.000384,0.0001,0.0005
2538.1001032,Healthy,3,4,5-7N15,-0.000255,0.0001,0.0004
2538.1001032,Healthy,4,247,Cellulosimicrobium,-0.000196,0.0001,0.0003
2538.1001032,Healthy,5,48,Afifella,-0.000183,0.0001,0.0003
2538.1001032,Healthy,6,781,Paracoccus,-0.000158,0.0001,0.0003
2538.1001032,Healthy,7,126,Arthrospira,-0.000140,0.0001,0.0003
2538.1001032,Healthy,8,1104,Tetragenococcus,-0.000133,0.0001,0.0003
2538.1001032,Healthy,9,937,Robiginitomaculum,-0.000103,0.0001,0.0002
2538.1001032,Healthy,10,536,Jonesia,-0.000102,0.0001,0.0002
2538.1001032,Healthy,11,940,Roseibium,-0.000102,0.0001,0.0002
2538.1001032,Healthy,12,98,Ancylobacter,-0.000098,0.0001,0.0002
2538.1001032,Healthy,13,637,Megamonas,-0.000094,0.0001,0.0002
2538.1001032,Healthy,14,1134,Tissierella_Soehngenia,-0.000082,0.0001,0.0002
2538.1001032,Healthy,15,1092,Taylorella,0.000081,0.0001,0.0000
2538.1001032,Healthy,16,589,Leptotrichia,0.000074,0.0001,0.0001
2538.1001032,Healthy,17,1059,Streptomonospora,0.000073,0.0001,0.0001
2538.1001032,Healthy,18,483,Haloarcula,0.000073,0.0001,0.0001
2538.1001032,Healthy,19,115,Arcobacter,0.000071,0.0001,0.0001
2538.1001032,Healthy,20,782,Paracraurococcus,0.000071,0.0001,0.0001
2538.1001215,Disease,1,69,Alkaliphilus,0.002646,0.9992,0.9965
2538.1001215,Disease,2,43,Aerococcus,0.002623,0.9992,0.9966
2538.1001215,Disease,3,1184,Wohlfahrtiimonas,0.002318,0.9992,0.9969
2538.1001215,Disease,4,1092,Taylorella,0.002259,0.9992,0.9969
2538.1001215,Disease,5,115,Arcobacter,0.002118,0.9992,0.9971
2538.1001215,Disease,6,782,Paracraurococcus,0.001864,0.9992,0.9973
2538.1001215,Disease,7,786,Parvibaculum,0.001286,0.9992,0.9979
2538.1001215,Disease,8,507,Helicobacter,0.000971,0.9992,0.9982
2538.1001215,Disease,9,589,Leptotrichia,0.000964,0.9992,0.9982
2538.1001215,Disease,10,708,Natronococcus,0.000884,0.9992,0.9983
2538.1001215,Disease,11,494,Halomicronema,0.000819,0.9992,0.9984
2538.1001215,Disease,12,781,Paracoccus,-0.000710,0.9992,0.9999
